verbatimDistrinctLicenseAndRightsStatements	spdxLicenseId	spdxLicenseSeeAlso
https://biodiversitylibrary.org/permissions	NA	NA
https://creativecommons.org/licenses/by/4.0/	CC-BY-4.0	https://creativecommons.org/licenses/by/4.0/legalcode
https://creativecommons.org/licenses/by-nc-sa/4.0/	CC-BY-NC-SA-4.0	https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode
https://creativecommons.org/licenses/by-sa/4.0/	CC-BY-SA-4.0	https://creativecommons.org/licenses/by-sa/4.0/legalcode
https://creativecommons.org/share-your-work/public-domain/cc0/	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
https://www.biodiversitylibrary.org/permissions	NA	NA
https://www.biodiversitylibrary.org/permissions/	NA	NA
http://www.biodiversitylibrary.org/permissions	NA	NA
http://www.biodiversitylibrary.org/permissions/	NA	NA
In copyright.  Digititized with permission of the rights holder.	NA	NA
In copyright.  Digitized with permission of the Field Museum of Chicago.  Contact dcc@library.uiuc.edu for information.	NA	NA
In copyright.  Digitized with permission of the Field Museum of Chicago.  Contact dcc@library.uiuc.edu for information.Contact dcc@library.uiuc.edu for information.	NA	NA
In copyright.  Digitized with permission of the Illinois Native Plant Society. Contact dcc@library.uiuc.edu for information.	NA	NA
In copyright.  Digitized with permission of the rights holder	NA	NA
In copyright. Digitized with permission of the rights holder.	NA	NA
In copyright.  Digitized with permission of the rights holder.  Contact digicc@library.illinois.edu for information.	NA	NA
In copyright.  Digitized with permission of the University of Illinois Board of Trustees.  Contact dcc@library.uiuc.edu for information.	NA	NA
In copyright. Digitized with permission of the University of Illinois Board of Trustees.  Contact digicc@library.illinois.edu for information.	NA	NA
In copyright.  Digitized with the permission of the Chicago Field Museum.  For information contact dcc@library.uiuc.edu.	NA	NA
In copyright. Digitized with the permission of the Chicago Field Museum.  For information contact dcc@library.uiuc.edu.	NA	NA
In copyright. Digitized with the permission of the Chicago Field Museum. For information contact dcc@library.uiuc.edu.	NA	NA
in copyright. Digitized with the permission of the rights holder.	NA	NA
In copyright.  Digitized with the permission of the rights holder.	NA	NA
In copyright. Digitized with the permission of the rights holder	NA	NA
In copyright. Digitized with the permission of the rights holder.	NA	NA
In copyright.Digitized with the permission of the rights holder.	NA	NA
In Copyright. Digitized with the permission of the rights holder	NA	NA
In Copyright. Digitized with the permission of the rights holder.	NA	NA
In copyright. Digitized with the permission of the University of Kansas Natural History Museum.	NA	NA
In public domain. Work published prior to 1923.	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
NIC	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
No known copyright restrictions as determined by scanning institution	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
No known copyright restrictions as determined by scanning institution.	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Not in copyright	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
NOT IN COPYRIGHT	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
NOT_IN_COPYRIGHT	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Not in copyright. The BHL affirms that this work is in the public domain.	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Not in copyright. The BHL knows of no copyright restrictions on this item.	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Not provided. Contact Holding Institution to verify copyright status.	NA	NA
Permissions to digitize granted by rights holder.	NA	NA
Permission to digitize granted by rights holder	NA	NA
Permission_to_digitize_granted_by_rights_holder	NA	NA
Permission to digitize granted by the rights holder	NA	NA
Public Domain.  Published 1923-1977 without copyright notice.	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Public domain.  Published prior to 1923.	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Public domain. The BHL considers that this volume is no longer under copyright protection	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Public domain. The BHL considers that this volume is no longer under copyright protection.	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Public domain.  The BHL considers that this work is no longer under copyright protection.	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Public domain. The BHL considers that this work is no longer under copyright protection	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Public domain. The BHL considers that this work is no longer under copyright protection.	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Public domain.. The BHL considers that this work is no longer under copyright protection.	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Public domain. The Library considers that this work is no longer under copyright protection	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Published before 1878 in the Univted States without copyright notice.	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Published before 1978 in the Univted States without copyright notice.	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Society no longer existent	NA	NA
The BHL considers that this work is no longer under copyright protection.	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
The contributing institution believes that this item is not in copyright	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
The National Institutes of Health are unaware of any possible copyright restrictions for this item.	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
